322,286,0
330,275,0
337,285,0
332,290,0
333,294,0
318,284,0
347,268,0
336,305,0
308,294,0
322,254,0
329,249,0
350,250,0
367,273,0
363,263,0
357,281,0
357,294,0
357,295,0
358,297,0
306,320,0
313,273,0
320,265,0
335,266,0
365,294,0
312,302,0
327,302,0
335,304,0
368,296,0
366,261,0
324,238,0
318,254,0
318,254,0
312,255,0
310,263,0
304,270,0
332,303,0
327,322,0
330,320,0
335,312,0
352,305,0
353,302,0
346,284,0
345,271,0
348,286,0
347,293,0
349,303,0
373,287,0
364,306,0
338,321,0
338,321,0
299,287,0
307,253,0
314,245,0
349,235,1
375,245,1
363,244,1
370,251,1
378,261,1
381,268,1
381,286,1
375,301,1
368,311,1
311,335,1
311,324,1
299,305,1
299,305,1
286,291,1
288,281,1
292,261,1
296,255,1
299,248,1
314,237,1
326,229,1
343,233,1
336,230,1
336,230,1
336,333,1
344,333,1
368,317,1
358,328,1
360,322,1
348,328,1
353,329,1
295,306,1
301,317,1
305,321,1
291,304,1
287,274,1
287,274,1
290,268,1
336,220,1
339,220,1
347,220,1
359,232,1
276,223,1
285,216,1
296,211,1
302,207,1
318,201,1
319,201,1
342,203,1
376,210,1
383,221,1
396,239,1
405,257,1
410,263,1
408,290,1
413,272,1
411,280,1
408,309,1
383,339,1
399,325,1
413,310,1
397,332,1
371,345,1
342,355,1
342,355,1
297,354,1
292,350,1
286,347,1
278,336,1
278,336,1
276,326,1
270,319,1
263,307,1
263,298,1
260,278,1
260,278,1
260,266,1
260,266,1
260,257,1
264,252,1
264,239,1
265,237,1
274,230,1
274,230,1
283,218,1
329,199,1
335,207,1
307,355,1
317,361,1
335,356,1
328,358,1
326,358,1
357,351,1
