263,256,0
280,259,0
291,251,0
306,260,0
320,256,0
316,251,0
328,246,0
330,259,0
318,266,0
284,264,0
269,269,0
279,247,0
287,244,0
295,242,0
302,242,0
311,242,0
311,242,0
322,242,0
324,242,0
328,242,0
340,242,0
343,242,0
360,250,0
352,259,0
346,256,0
343,254,0
338,249,0
335,251,0
344,264,0
344,264,0
306,268,0
303,269,0
302,263,0
300,259,0
310,247,0
307,253,0
306,253,0
339,275,0
340,274,0
343,271,0
358,248,0
372,244,0
369,254,0
367,257,0
360,271,0
367,267,0
384,252,0
380,260,0
384,268,0
370,279,0
354,285,0
307,288,0
313,279,0
332,285,0
336,285,0
337,285,0
341,285,0
351,278,0
342,287,0
334,269,0
332,276,0
332,276,0
324,275,0
321,278,0
296,273,0
289,277,0
289,277,0
281,270,0
280,275,0
282,280,0
276,285,0
279,290,0
290,290,0
296,284,0
298,283,0
312,279,0
306,284,0
308,275,0
308,276,0
319,293,0
325,289,0
329,288,0
324,294,0
316,296,0
333,303,0
373,287,0
363,285,0
378,277,0
403,270,0
387,254,0
386,267,0
390,267,0
390,262,0
391,281,0
390,284,0
372,289,0
360,286,0
359,287,0
336,296,0
348,298,0
357,298,0
363,299,0
382,294,0
335,307,0
328,305,0
319,304,0
306,304,0
306,304,0
303,293,0
268,273,0
262,275,0
298,302,0
293,303,0
278,302,0
274,295,0
274,291,0
367,304,0
355,307,0
375,307,0
377,307,0
377,303,0
381,298,0
386,301,0
391,305,0
394,302,0
389,291,0
401,287,0
406,279,0
406,279,0
408,277,0
395,246,0
401,252,0
405,291,0
301,316,0
298,316,0
287,320,0
289,314,0
274,317,0
288,309,0
315,311,0
356,308,0
355,316,0
346,306,0
338,318,0
336,318,0
364,312,0
373,311,0
405,311,0
416,300,0
418,312,0
410,279,0
410,272,0
409,260,0
414,252,0
384,244,0
359,245,0
359,245,0
382,236,0
420,255,0
416,242,0
417,242,0
427,264,0
427,267,0
421,283,0
421,285,0
288,229,1
300,231,1
309,229,1
318,229,1
332,230,1
342,230,1
354,230,1
362,230,1
373,229,1
391,233,1
403,232,1
289,328,1
304,323,1
315,321,1
338,329,1
329,329,1
350,324,1
363,330,1
372,325,1
382,328,1
401,327,1
396,321,1
350,272,1
361,275,1
373,277,1
316,273,1
411,325,1
283,278,1
298,325,1
280,333,1
296,329,1
330,341,1
315,333,1
352,345,1
382,341,1
388,337,1
396,336,1
405,339,1
397,222,1
391,228,1
380,223,1
358,227,1
355,224,1
340,219,1
316,223,1
307,223,1
306,223,1
303,225,1
271,222,1
282,225,1
274,237,1
272,239,1
268,242,1
288,345,1
306,329,1
304,339,1
301,340,1
360,339,1
406,234,1
407,232,1
410,223,1
